_id,card1,card2,card3,card4,card5,card6,card7,card8,card9,card10,card11,card12,card13,card14,card15,card16,card17,card18,card19,card20,card21,card22,card23,card24,card25,card26,card27,card28,card29,card30,card31,card32,card33,card34,card35,card36,card37,card38,card39,card40,card41,card42,card43,card44,card45,card46,card47,card48,card49,card50,card51,card52,gameId,playerId,handNumber,strategy,bidSelfOrder,bidSelfBid,bidRightBid,bidPartnerBid,bidLeftBid,scoreSelfTeamScore,scoreSelfTeamBags,scoreOtherTeamScore,scoreOtherTeamBags,tricksTaken,scoreChange,bagsChange,finalBags,winner,finalScore
ObjectId(59fea136cfb0a004a0586f71),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,Ol67SN4CLV,3,randFromNumberOfSpades,1,1,,,,2,1,1,2,3,5,1,4,1,-51
ObjectId(59fea136cfb0a004a0586f72),0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,e5zRSEcd1Z,3,randFromNumberOfSpades,2,3,1,,,1,2,2,1,6,-7,3,4,0,-58
ObjectId(59fea136cfb0a004a0586f73),0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,N55VD673x5,3,randFromNumberOfSpades,3,4,3,1,,2,1,1,2,3,5,1,4,1,-51
ObjectId(59fea136cfb0a004a0586f74),1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,ZobMkk9bOk,3,randFromNumberOfSpades,4,0,4,3,1,1,2,2,1,1,-7,3,4,0,-58
ObjectId(59fea143cfb0a004a0586fa9),0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,e5zRSEcd1Z,4,randFromNumberOfSpades,1,4,,,,-6,5,7,2,2,8,2,4,0,-58
ObjectId(59fea143cfb0a004a0586faa),1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,N55VD673x5,4,randFromNumberOfSpades,2,0,4,,,7,2,-6,5,1,-15,0,4,1,-51
ObjectId(59fea144cfb0a004a0586fab),0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,ZobMkk9bOk,4,randFromNumberOfSpades,3,4,Nil,4,,-6,5,7,2,8,8,2,4,0,-58
ObjectId(59fea144cfb0a004a0586fac),0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,Ol67SN4CLV,4,randFromNumberOfSpades,4,5,4,Nil,4,7,2,-6,5,2,-15,0,4,1,-51
ObjectId(59fea151cfb0a004a0586fe1),1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,N55VD673x5,5,randFromNumberOfSpades,1,2,,,,-8,2,2,7,3,6,0,4,1,-51
ObjectId(59fea152cfb0a004a0586fe2),0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,ZobMkk9bOk,5,randFromNumberOfSpades,2,4,2,,,2,7,-8,2,5,5,2,4,0,-58
ObjectId(59fea152cfb0a004a0586fe3),0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,Ol67SN4CLV,5,randFromNumberOfSpades,3,4,4,2,,-8,2,2,7,3,6,0,4,1,-51
ObjectId(59fea152cfb0a004a0586fe4),0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,e5zRSEcd1Z,5,randFromNumberOfSpades,4,1,4,4,2,2,7,-8,2,2,5,2,4,0,-58
