_id,card1,card2,card3,card4,card5,card6,card7,card8,card9,card10,card11,card12,card13,card14,card15,card16,card17,card18,card19,card20,card21,card22,card23,card24,card25,card26,card27,card28,card29,card30,card31,card32,card33,card34,card35,card36,card37,card38,card39,card40,card41,card42,card43,card44,card45,card46,card47,card48,card49,card50,card51,card52,gameId,playerId,handNumber,strategy,bidSelfOrder,bidSelfBid,bidRightBid,bidPartnerBid,bidLeftBid,scoreSelfTeamScore,scoreSelfTeamBags,scoreOtherTeamScore,scoreOtherTeamBags,tricksTaken,scoreChange,bagsChange,finalBags,winner,finalScore,learningVersion
ObjectId(5a120fafe10a9b00012aec83),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,HCTerku3ef8GgnpOhDuERjGU8ThuCe,AmKMveWEcf,27,nn,1,3,,,,33,7,33,7,5,6,1,9,,52,0.2
ObjectId(5a120fafe10a9b00012aec84),0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,HCTerku3ef8GgnpOhDuERjGU8ThuCe,R8fGOimVdV,27,nn,2,3,3,,,33,7,33,7,1,6,0,7,,51,0.2
ObjectId(5a120fafe10a9b00012aec85),1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,HCTerku3ef8GgnpOhDuERjGU8ThuCe,0L2ktqitGU,27,nn,3,3,3,3,,33,7,33,7,2,6,1,9,,52,0.2
ObjectId(5a120fafe10a9b00012aec86),0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,HCTerku3ef8GgnpOhDuERjGU8ThuCe,cZWfoHuZXR,27,nn,4,3,3,3,3,33,7,33,7,5,6,0,7,,51,0.2
ObjectId(5a120fb4e10a9b00012aecbb),1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,HCTerku3ef8GgnpOhDuERjGU8ThuCe,R8fGOimVdV,28,nn,1,3,,,,39,7,39,8,5,6,0,7,,51,0.2
ObjectId(5a120fb5e10a9b00012aecbc),0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,HCTerku3ef8GgnpOhDuERjGU8ThuCe,0L2ktqitGU,28,nn,2,4,3,,,39,8,39,7,6,7,0,9,,52,0.2
ObjectId(5a120fb5e10a9b00012aecbd),0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,HCTerku3ef8GgnpOhDuERjGU8ThuCe,cZWfoHuZXR,28,nn,3,3,4,3,,39,7,39,8,1,6,0,7,,51,0.2
ObjectId(5a120fb5e10a9b00012aecbe),0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,HCTerku3ef8GgnpOhDuERjGU8ThuCe,AmKMveWEcf,28,nn,4,3,3,4,3,39,8,39,7,1,7,0,9,,52,0.2
ObjectId(5a120fb9e10a9b00012aecf3),1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,HCTerku3ef8GgnpOhDuERjGU8ThuCe,0L2ktqitGU,29,nn,1,3,,,,46,8,45,7,3,6,1,9,,52,0.2
ObjectId(5a120fb9e10a9b00012aecf4),0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,HCTerku3ef8GgnpOhDuERjGU8ThuCe,cZWfoHuZXR,29,nn,2,3,3,,,45,7,46,8,4,6,0,7,,51,0.2
ObjectId(5a120fb9e10a9b00012aecf5),0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,HCTerku3ef8GgnpOhDuERjGU8ThuCe,AmKMveWEcf,29,nn,3,3,3,3,,46,8,45,7,4,6,1,9,,52,0.2
